	C	FDR_C	I	FDR_I	G	FDR_G	FDR
2410015M20Rik	0.00160989735539629	0.004556725645733173	3.985642988649846e-05	0.0002134170253867751	2.2757753509683454e-05	0.00010695598400066579	0.009638268317604453
2410089E03Rik	0.11036866443271814	0.16441206183888796	0.40742031150419633	0.6231171581753738	0.23508394182098813	0.32610242722308364	0.3758865296584218
2410131K14Rik	0.03427992164496167	0.06380037078803028	0.5358061474010718	0.7295212502963877	0.10868210667752132	0.19573166023397012	0.1662560148960828
2510002D24Rik	0.3292058157967334	0.37508321209689716	0.7994406385590266	0.9088167543569076	0.4858644328113948	0.492091532518745	0.11815202213314213
2510009E07Rik	1.834844925262706e-11	1.3171901408534252e-10	0.004103863694078651	0.015875941704807224	0.0003450323614080375	0.0013623773046968445	0.006936539237635104
2510039O18Rik	0.061273215634139296	0.1027054806703611	0.6345019627688409	0.8047489039922017	0.36142674058158386	0.4182378422597926	0.612615858818415
2600014E21Rik	0.0003949911666730718	0.0012846061872649952	0.0012184745032299187	0.005255207595576572	0.0002878889633032289	0.0011556837162672428	0.004431155532732766
2610001J05Rik	0.06593139526373765	0.10889292806158186	0.7212976886708791	0.8621941626840169	0.05769848150245782	0.120577398217655	0.47899693989075504
2610002M06Rik	0.44531422800782067	0.4620950876027998	0.9856367518191846	0.9927269963805293	0.0652995490951942	0.13275317045307217	0.4137008287568889
2610008E11Rik	0.22750868664625473	0.28732731433778036	0.07072302143983782	0.1800506331745832	0.027515052253867633	0.06616441645046599	0.6856330266651475
2610020C07Rik	0.1267833423525404	0.18323745895465243	0.29560625802922313	0.5098830703095155	0.0873556476563766	0.16608420477004934	0.647222445633179
2610035D17Rik	3.3637465287947734e-05	0.00013174001692909664	0.53647650383459	0.7301296195937705	0.4385293755091946	0.46708145115376054	0.30763503544144283
2610037D02Rik	0.04258528578633282	0.07612061572788678	0.9479148711991223	0.9771476446511362	0.3777030817385838	0.428667187625247	0.4106396355466802
2610044O15Rik8	0.19755679740845367	0.2584936650828465	0.15532743071094013	0.32613102497032403	0.0792670417162511	0.15405349896420953	0.14356905436125883
2610301B20Rik	0.14277448927630765	0.20112812254435575	0.08464070522641935	0.206986341530742	0.0012176025760466391	0.004349722071702886	0.013414953610284224
